route,load,variety,priority,preferred_status,eta_minutes,rain_safe
Hadapsar to Warehouse A,399 bags Sona Masoori,Sona Masoori,18,scheduled,68,False
Open Yard C to Warehouse B,374 bags Sona Masoori,Sona Masoori,5,ready,180,False
Lonikand to Warehouse C,370 bags Sona Masoori,Sona Masoori,9,ready,71,False
Moshi to Warehouse C,318 bags Basmati,Basmati,4,ready,122,False
Shirur to Warehouse A,384 bags Swarna,Swarna,10,ready,106,False
Wagholi to Warehouse C,475 bags IR-64,IR-64,4,ready,140,True
Baramati to Warehouse C,392 bags IR-64,IR-64,14,ready,22,False
Hadapsar to Warehouse C,124 bags Swarna,Swarna,7,scheduled,169,False
Shirur to Warehouse C,235 bags Ponni,Ponni,7,ready,48,True
Khed to Warehouse C,69 bags IR-64,IR-64,20,ready,172,False
Lonikand to Warehouse C,394 bags Ponni,Ponni,7,scheduled,69,True
Daund to Warehouse B,61 bags IR-64,IR-64,6,standby,167,False
Indapur to Warehouse C,472 bags Swarna,Swarna,12,ready,35,True
Talegaon to Warehouse B,55 bags Swarna,Swarna,14,ready,149,False
Khed to Warehouse C,442 bags Sona Masoori,Sona Masoori,13,scheduled,132,True
Wagholi to Warehouse B,263 bags Swarna,Swarna,3,ready,160,False
Hadapsar to Warehouse A,336 bags Ponni,Ponni,12,scheduled,172,True
Lonikand to Warehouse C,50 bags IR-64,IR-64,17,ready,62,False
Talegaon to Warehouse B,245 bags IR-64,IR-64,5,standby,98,False
Pimpri to Warehouse B,173 bags Swarna,Swarna,10,standby,161,False
Hadapsar to Warehouse C,359 bags Basmati,Basmati,20,ready,167,False
Sanaswadi to Warehouse A,334 bags Ponni,Ponni,12,ready,88,False
Open Yard C to Warehouse B,448 bags Basmati,Basmati,7,standby,135,True
Shirur to Warehouse B,161 bags Sona Masoori,Sona Masoori,2,standby,38,True
Khed to Warehouse A,426 bags Swarna,Swarna,7,ready,111,True
Khed to Warehouse C,135 bags Basmati,Basmati,13,scheduled,133,True
Daund to Warehouse C,473 bags IR-64,IR-64,6,scheduled,67,False
Lonikand to Warehouse C,281 bags Basmati,Basmati,19,standby,168,True
Chakan to Warehouse C,250 bags Sona Masoori,Sona Masoori,4,scheduled,46,True
Pimpri to Warehouse A,204 bags Ponni,Ponni,17,ready,116,True
Daund to Warehouse B,156 bags IR-64,IR-64,14,ready,92,False
Indapur to Warehouse C,342 bags IR-64,IR-64,16,scheduled,106,False
Khed to Warehouse B,96 bags Swarna,Swarna,14,standby,172,True
Pimpri to Warehouse A,303 bags Sona Masoori,Sona Masoori,14,ready,108,True
Sanaswadi to Warehouse B,229 bags Swarna,Swarna,8,scheduled,84,False
Chakan to Warehouse C,477 bags Basmati,Basmati,9,ready,69,True
Shirur to Warehouse B,443 bags Ponni,Ponni,2,scheduled,98,True
Shirur to Warehouse C,65 bags Basmati,Basmati,13,ready,103,True
Shirur to Warehouse A,276 bags Ponni,Ponni,10,scheduled,130,False
Moshi to Warehouse C,320 bags Ponni,Ponni,17,standby,128,False
Hadapsar to Warehouse B,231 bags Sona Masoori,Sona Masoori,20,ready,145,False
Pimpri to Warehouse A,307 bags Sona Masoori,Sona Masoori,13,standby,97,True
Talegaon to Warehouse A,73 bags Ponni,Ponni,19,scheduled,166,False
Wagholi to Warehouse B,460 bags Ponni,Ponni,6,ready,71,False
Indapur to Warehouse A,233 bags Basmati,Basmati,17,ready,167,False
Talegaon to Warehouse A,145 bags Sona Masoori,Sona Masoori,12,ready,23,True
Shirur to Warehouse B,82 bags Sona Masoori,Sona Masoori,17,scheduled,26,True
Open Yard C to Warehouse B,264 bags Ponni,Ponni,10,ready,124,True
Lonikand to Warehouse B,350 bags Sona Masoori,Sona Masoori,7,ready,118,False
Baramati to Warehouse B,285 bags Swarna,Swarna,19,standby,35,False
Moshi to Warehouse A,140 bags Sona Masoori,Sona Masoori,11,standby,75,False
Daund to Warehouse B,229 bags Ponni,Ponni,14,scheduled,143,True
Khed to Warehouse C,377 bags Sona Masoori,Sona Masoori,2,ready,46,False
Shirur to Warehouse C,163 bags IR-64,IR-64,7,ready,48,False
Daund to Warehouse C,388 bags Swarna,Swarna,1,standby,72,False
Open Yard C to Warehouse C,50 bags Sona Masoori,Sona Masoori,6,scheduled,101,False
Hadapsar to Warehouse C,55 bags Sona Masoori,Sona Masoori,1,standby,62,False
Indapur to Warehouse B,488 bags Swarna,Swarna,4,scheduled,38,False
Shirur to Warehouse A,247 bags Sona Masoori,Sona Masoori,20,ready,170,True
Hadapsar to Warehouse B,370 bags Basmati,Basmati,2,ready,101,True
Pimpri to Warehouse A,393 bags Ponni,Ponni,8,scheduled,120,False
Moshi to Warehouse C,271 bags Swarna,Swarna,3,ready,16,True
Khed to Warehouse B,362 bags IR-64,IR-64,20,standby,56,False
Sanaswadi to Warehouse B,409 bags Sona Masoori,Sona Masoori,20,ready,36,True
Pimpri to Warehouse A,156 bags IR-64,IR-64,3,standby,86,False
Talegaon to Warehouse A,71 bags Ponni,Ponni,9,standby,28,True
Baramati to Warehouse C,87 bags Swarna,Swarna,16,ready,148,False
Chakan to Warehouse A,416 bags Swarna,Swarna,9,scheduled,16,False
Chakan to Warehouse A,84 bags IR-64,IR-64,14,scheduled,48,True
Khed to Warehouse A,80 bags Swarna,Swarna,19,ready,33,False
Open Yard C to Warehouse B,394 bags Sona Masoori,Sona Masoori,6,standby,45,False
Sanaswadi to Warehouse C,82 bags Ponni,Ponni,3,standby,48,True
Bhosari to Warehouse C,364 bags Ponni,Ponni,8,standby,30,True
Open Yard C to Warehouse B,348 bags Ponni,Ponni,16,scheduled,49,True
Chakan to Warehouse A,163 bags Sona Masoori,Sona Masoori,10,scheduled,102,False
Shirur to Warehouse C,402 bags Ponni,Ponni,20,standby,20,False
Khed to Warehouse A,342 bags Swarna,Swarna,18,standby,88,False
Sanaswadi to Warehouse B,133 bags Sona Masoori,Sona Masoori,3,standby,27,True
Indapur to Warehouse B,53 bags Ponni,Ponni,4,ready,85,True
Daund to Warehouse C,443 bags Sona Masoori,Sona Masoori,9,ready,119,True
Lonikand to Warehouse C,409 bags Sona Masoori,Sona Masoori,20,ready,41,False
Sanaswadi to Warehouse C,480 bags IR-64,IR-64,9,ready,159,False
Wagholi to Warehouse B,339 bags Basmati,Basmati,1,ready,17,False
Bhosari to Warehouse C,67 bags Swarna,Swarna,5,scheduled,131,False
Open Yard C to Warehouse B,271 bags Ponni,Ponni,18,standby,173,False
Pimpri to Warehouse C,70 bags Swarna,Swarna,9,standby,170,False
Moshi to Warehouse B,123 bags Ponni,Ponni,1,ready,173,False
Baramati to Warehouse C,276 bags Swarna,Swarna,6,ready,63,False
Baramati to Warehouse B,435 bags Swarna,Swarna,20,standby,168,False
Hadapsar to Warehouse A,99 bags Swarna,Swarna,10,ready,50,False
Moshi to Warehouse B,200 bags Swarna,Swarna,17,ready,164,True
Talegaon to Warehouse C,248 bags IR-64,IR-64,20,ready,114,True
Moshi to Warehouse B,248 bags IR-64,IR-64,18,ready,126,True
Indapur to Warehouse A,207 bags Ponni,Ponni,17,standby,84,False
Lonikand to Warehouse C,354 bags Swarna,Swarna,16,scheduled,26,True
Chakan to Warehouse B,243 bags IR-64,IR-64,16,scheduled,140,False
Sanaswadi to Warehouse A,82 bags Basmati,Basmati,16,standby,67,True
Daund to Warehouse A,215 bags IR-64,IR-64,9,standby,66,False
Talegaon to Warehouse B,473 bags Swarna,Swarna,2,standby,148,False
Daund to Warehouse C,478 bags Ponni,Ponni,10,scheduled,114,True
Baramati to Warehouse A,105 bags Basmati,Basmati,2,ready,53,True
Khed to Warehouse B,424 bags IR-64,IR-64,11,standby,37,True
Daund to Warehouse A,313 bags Basmati,Basmati,12,ready,19,False
Pimpri to Warehouse C,167 bags Basmati,Basmati,5,standby,53,True
Daund to Warehouse C,414 bags Sona Masoori,Sona Masoori,1,scheduled,36,True
Lonikand to Warehouse C,188 bags Basmati,Basmati,8,scheduled,42,False
Lonikand to Warehouse C,378 bags Sona Masoori,Sona Masoori,9,standby,152,False
Shirur to Warehouse A,185 bags IR-64,IR-64,15,ready,166,True
Daund to Warehouse B,73 bags IR-64,IR-64,4,standby,124,True
Hadapsar to Warehouse A,161 bags Swarna,Swarna,20,scheduled,147,True
Shirur to Warehouse A,384 bags Sona Masoori,Sona Masoori,2,scheduled,160,False
Talegaon to Warehouse B,133 bags Swarna,Swarna,12,ready,147,False
Indapur to Warehouse A,397 bags Basmati,Basmati,12,scheduled,136,False
Wagholi to Warehouse B,493 bags IR-64,IR-64,14,standby,91,True
Hadapsar to Warehouse C,437 bags Swarna,Swarna,5,ready,94,False
Daund to Warehouse A,115 bags Basmati,Basmati,7,ready,44,True
Lonikand to Warehouse B,319 bags Ponni,Ponni,6,scheduled,21,False
Sanaswadi to Warehouse A,178 bags Basmati,Basmati,12,standby,156,True
Shirur to Warehouse B,131 bags Sona Masoori,Sona Masoori,9,ready,116,False
Chakan to Warehouse B,243 bags Sona Masoori,Sona Masoori,18,standby,153,False
Wagholi to Warehouse B,411 bags Ponni,Ponni,15,standby,48,True
Khed to Warehouse B,210 bags IR-64,IR-64,3,scheduled,70,False
Shirur to Warehouse B,359 bags IR-64,IR-64,4,ready,49,False
Talegaon to Warehouse A,386 bags Sona Masoori,Sona Masoori,16,ready,36,False
Indapur to Warehouse B,162 bags Sona Masoori,Sona Masoori,4,standby,114,True
Wagholi to Warehouse B,232 bags IR-64,IR-64,19,scheduled,112,False
Open Yard C to Warehouse C,286 bags Basmati,Basmati,9,standby,69,True
Pimpri to Warehouse C,485 bags Swarna,Swarna,4,standby,107,True
Hadapsar to Warehouse A,191 bags Ponni,Ponni,15,standby,174,False
Bhosari to Warehouse C,289 bags Sona Masoori,Sona Masoori,3,standby,26,True
Indapur to Warehouse C,204 bags IR-64,IR-64,10,ready,168,False
Open Yard C to Warehouse C,414 bags Ponni,Ponni,12,scheduled,120,True
Daund to Warehouse C,318 bags Ponni,Ponni,3,ready,146,False
Sanaswadi to Warehouse C,464 bags IR-64,IR-64,4,ready,161,True
Baramati to Warehouse C,180 bags IR-64,IR-64,15,ready,71,True
Baramati to Warehouse B,348 bags Sona Masoori,Sona Masoori,7,standby,45,True
Talegaon to Warehouse A,167 bags Ponni,Ponni,11,ready,157,True
Lonikand to Warehouse B,57 bags Basmati,Basmati,15,standby,45,False
Daund to Warehouse C,499 bags Ponni,Ponni,7,ready,157,False
Wagholi to Warehouse B,291 bags Swarna,Swarna,9,standby,132,True
Hadapsar to Warehouse B,247 bags Swarna,Swarna,12,ready,18,True
Khed to Warehouse B,243 bags IR-64,IR-64,6,scheduled,54,True
Bhosari to Warehouse A,453 bags Ponni,Ponni,5,standby,163,True
Bhosari to Warehouse C,262 bags Ponni,Ponni,6,ready,157,False
Indapur to Warehouse B,118 bags Swarna,Swarna,9,scheduled,70,True
Hadapsar to Warehouse A,203 bags Basmati,Basmati,19,ready,160,True
Khed to Warehouse A,255 bags Swarna,Swarna,13,standby,84,False
Hadapsar to Warehouse A,143 bags IR-64,IR-64,9,scheduled,82,True
Open Yard C to Warehouse C,465 bags Basmati,Basmati,19,scheduled,38,True
Shirur to Warehouse C,208 bags Swarna,Swarna,12,standby,54,False
Talegaon to Warehouse A,64 bags Swarna,Swarna,8,ready,157,True
Baramati to Warehouse C,59 bags Basmati,Basmati,18,scheduled,72,False
Wagholi to Warehouse C,320 bags Sona Masoori,Sona Masoori,3,scheduled,120,False
Pimpri to Warehouse B,235 bags Ponni,Ponni,12,scheduled,81,True
Moshi to Warehouse C,176 bags Swarna,Swarna,19,standby,41,True
Indapur to Warehouse B,149 bags Swarna,Swarna,11,scheduled,142,True
Baramati to Warehouse B,286 bags Swarna,Swarna,17,ready,136,False
Open Yard C to Warehouse C,157 bags Basmati,Basmati,18,ready,33,True
Bhosari to Warehouse B,95 bags Swarna,Swarna,9,scheduled,33,False
Hadapsar to Warehouse C,62 bags Ponni,Ponni,18,ready,60,False
Indapur to Warehouse B,487 bags IR-64,IR-64,7,standby,170,True
Khed to Warehouse B,484 bags Swarna,Swarna,4,ready,22,True
Moshi to Warehouse A,91 bags IR-64,IR-64,20,standby,100,False
Shirur to Warehouse A,207 bags Basmati,Basmati,6,scheduled,65,False
Wagholi to Warehouse B,366 bags IR-64,IR-64,3,ready,164,True
Moshi to Warehouse A,492 bags Ponni,Ponni,13,standby,113,False
Bhosari to Warehouse B,410 bags Ponni,Ponni,1,ready,175,True
Open Yard C to Warehouse B,164 bags Ponni,Ponni,1,ready,131,False
Baramati to Warehouse C,168 bags Swarna,Swarna,15,standby,24,False
Moshi to Warehouse A,460 bags IR-64,IR-64,7,ready,61,False
Wagholi to Warehouse A,395 bags IR-64,IR-64,2,ready,145,False
Pimpri to Warehouse C,274 bags IR-64,IR-64,9,ready,173,False
Moshi to Warehouse C,482 bags Basmati,Basmati,12,scheduled,128,True
Talegaon to Warehouse B,289 bags Sona Masoori,Sona Masoori,4,standby,100,False
Khed to Warehouse C,99 bags Swarna,Swarna,16,standby,175,True
Daund to Warehouse B,52 bags Ponni,Ponni,14,scheduled,102,False
Shirur to Warehouse C,402 bags Ponni,Ponni,18,ready,31,True
Lonikand to Warehouse C,225 bags Ponni,Ponni,16,standby,103,False
Baramati to Warehouse C,200 bags IR-64,IR-64,7,ready,85,False
Lonikand to Warehouse B,76 bags IR-64,IR-64,13,standby,53,False
Chakan to Warehouse B,386 bags Swarna,Swarna,12,scheduled,115,False
Daund to Warehouse B,315 bags Swarna,Swarna,13,ready,173,False
Bhosari to Warehouse C,374 bags Basmati,Basmati,15,scheduled,35,False
Open Yard C to Warehouse C,464 bags IR-64,IR-64,9,ready,79,False
Khed to Warehouse A,417 bags IR-64,IR-64,9,standby,108,True
Baramati to Warehouse B,136 bags Ponni,Ponni,1,scheduled,84,False
Open Yard C to Warehouse A,378 bags Ponni,Ponni,9,ready,21,True
Baramati to Warehouse B,193 bags Ponni,Ponni,2,ready,149,True
Open Yard C to Warehouse A,322 bags IR-64,IR-64,7,scheduled,151,False
Lonikand to Warehouse B,347 bags IR-64,IR-64,6,scheduled,170,True
Hadapsar to Warehouse B,357 bags Swarna,Swarna,10,scheduled,149,True
Daund to Warehouse B,465 bags Sona Masoori,Sona Masoori,16,standby,132,True
Sanaswadi to Warehouse B,94 bags Basmati,Basmati,1,scheduled,113,True
Talegaon to Warehouse C,181 bags Sona Masoori,Sona Masoori,11,standby,26,True
Chakan to Warehouse B,314 bags IR-64,IR-64,18,ready,176,False
Hadapsar to Warehouse A,199 bags Swarna,Swarna,15,ready,180,False
Wagholi to Warehouse C,453 bags Swarna,Swarna,14,scheduled,24,True
Hadapsar to Warehouse A,298 bags IR-64,IR-64,19,scheduled,136,False
Moshi to Warehouse B,354 bags IR-64,IR-64,2,scheduled,162,False
Bhosari to Warehouse A,77 bags Sona Masoori,Sona Masoori,1,standby,175,False
Chakan to Warehouse A,297 bags Ponni,Ponni,4,scheduled,167,False
Moshi to Warehouse B,203 bags Ponni,Ponni,9,scheduled,133,False
Pimpri to Warehouse C,290 bags IR-64,IR-64,17,standby,75,True
Chakan to Warehouse A,184 bags Basmati,Basmati,7,ready,129,False
Wagholi to Warehouse C,292 bags Ponni,Ponni,19,standby,102,True
Indapur to Warehouse B,392 bags IR-64,IR-64,14,standby,62,False
Sanaswadi to Warehouse C,256 bags Ponni,Ponni,16,ready,125,False
Sanaswadi to Warehouse B,93 bags Ponni,Ponni,4,standby,168,True
Hadapsar to Warehouse C,254 bags Sona Masoori,Sona Masoori,7,scheduled,43,True
Hadapsar to Warehouse B,286 bags Basmati,Basmati,12,scheduled,180,False
Khed to Warehouse A,408 bags IR-64,IR-64,8,ready,120,False
Sanaswadi to Warehouse B,405 bags Ponni,Ponni,1,ready,163,True
Indapur to Warehouse A,371 bags Swarna,Swarna,12,standby,22,False
Wagholi to Warehouse A,303 bags Sona Masoori,Sona Masoori,15,scheduled,67,False
Baramati to Warehouse C,424 bags Basmati,Basmati,17,standby,17,True
Wagholi to Warehouse C,480 bags Basmati,Basmati,15,standby,125,False
Khed to Warehouse B,403 bags Sona Masoori,Sona Masoori,10,ready,173,True
Baramati to Warehouse A,313 bags Sona Masoori,Sona Masoori,20,standby,63,True
Bhosari to Warehouse B,333 bags Ponni,Ponni,8,scheduled,114,False
Hadapsar to Warehouse C,92 bags Swarna,Swarna,16,scheduled,147,False
Daund to Warehouse C,307 bags Basmati,Basmati,9,ready,25,False
Daund to Warehouse C,160 bags Sona Masoori,Sona Masoori,7,standby,175,True
Baramati to Warehouse C,240 bags Swarna,Swarna,1,scheduled,102,True
Chakan to Warehouse C,369 bags Sona Masoori,Sona Masoori,4,scheduled,107,True
Hadapsar to Warehouse C,69 bags IR-64,IR-64,20,scheduled,174,False
Chakan to Warehouse A,162 bags Sona Masoori,Sona Masoori,20,standby,77,False
Bhosari to Warehouse B,230 bags Basmati,Basmati,1,standby,22,False
Pimpri to Warehouse C,353 bags Sona Masoori,Sona Masoori,12,ready,30,True
Khed to Warehouse B,156 bags IR-64,IR-64,1,standby,52,False
Hadapsar to Warehouse A,335 bags Basmati,Basmati,1,standby,89,True
Hadapsar to Warehouse A,390 bags Ponni,Ponni,5,scheduled,24,False
Lonikand to Warehouse C,114 bags Sona Masoori,Sona Masoori,10,scheduled,46,True
Pimpri to Warehouse A,78 bags Basmati,Basmati,10,scheduled,88,False
Hadapsar to Warehouse C,233 bags Swarna,Swarna,16,scheduled,129,True
Pimpri to Warehouse C,433 bags IR-64,IR-64,9,scheduled,99,False
Hadapsar to Warehouse C,474 bags Sona Masoori,Sona Masoori,12,standby,152,True
Baramati to Warehouse A,490 bags IR-64,IR-64,17,standby,126,False
Bhosari to Warehouse A,350 bags Basmati,Basmati,4,scheduled,102,True
Bhosari to Warehouse B,236 bags Swarna,Swarna,14,scheduled,149,True
Open Yard C to Warehouse B,352 bags Sona Masoori,Sona Masoori,8,standby,146,True
Pimpri to Warehouse B,422 bags Ponni,Ponni,11,ready,82,False
Chakan to Warehouse A,395 bags Basmati,Basmati,1,scheduled,90,False
Pimpri to Warehouse C,108 bags Basmati,Basmati,1,scheduled,161,True
Khed to Warehouse B,197 bags Swarna,Swarna,10,standby,75,False
Sanaswadi to Warehouse B,485 bags Swarna,Swarna,20,ready,103,False
Pimpri to Warehouse C,459 bags IR-64,IR-64,12,ready,145,True
Bhosari to Warehouse A,309 bags IR-64,IR-64,5,ready,127,False
Wagholi to Warehouse B,443 bags Swarna,Swarna,16,ready,84,False
Pimpri to Warehouse A,239 bags Basmati,Basmati,4,standby,70,False
Talegaon to Warehouse B,427 bags Ponni,Ponni,8,ready,167,False
Pimpri to Warehouse A,58 bags Swarna,Swarna,2,scheduled,87,False
Lonikand to Warehouse B,357 bags Basmati,Basmati,18,ready,160,False
Baramati to Warehouse B,418 bags Sona Masoori,Sona Masoori,14,ready,48,True
Khed to Warehouse C,224 bags Swarna,Swarna,16,standby,54,False
Open Yard C to Warehouse C,163 bags Basmati,Basmati,1,standby,130,False
Baramati to Warehouse B,369 bags Sona Masoori,Sona Masoori,13,ready,46,True
Lonikand to Warehouse A,301 bags IR-64,IR-64,16,ready,107,True
Indapur to Warehouse A,194 bags Basmati,Basmati,4,scheduled,175,True
Wagholi to Warehouse A,304 bags Sona Masoori,Sona Masoori,2,ready,87,False
Open Yard C to Warehouse C,173 bags Basmati,Basmati,12,ready,174,False
Lonikand to Warehouse B,272 bags IR-64,IR-64,4,ready,157,True
Hadapsar to Warehouse B,456 bags Swarna,Swarna,14,ready,145,True
Shirur to Warehouse C,232 bags Sona Masoori,Sona Masoori,10,scheduled,163,True
Sanaswadi to Warehouse C,263 bags Sona Masoori,Sona Masoori,10,standby,35,False
Moshi to Warehouse B,218 bags Swarna,Swarna,18,ready,55,True
Khed to Warehouse C,346 bags Swarna,Swarna,19,standby,72,False
Shirur to Warehouse B,73 bags Ponni,Ponni,8,standby,122,True
Shirur to Warehouse C,315 bags Ponni,Ponni,18,ready,180,True
Moshi to Warehouse A,238 bags Basmati,Basmati,18,standby,167,True
Moshi to Warehouse A,239 bags IR-64,IR-64,6,standby,56,False
Wagholi to Warehouse A,66 bags Ponni,Ponni,7,scheduled,75,True
Pimpri to Warehouse B,174 bags Swarna,Swarna,19,standby,62,True
Khed to Warehouse C,170 bags Ponni,Ponni,18,scheduled,129,True
Khed to Warehouse A,336 bags Ponni,Ponni,20,standby,150,False
Wagholi to Warehouse B,316 bags Sona Masoori,Sona Masoori,14,ready,125,False
Hadapsar to Warehouse C,189 bags IR-64,IR-64,1,scheduled,74,False
Shirur to Warehouse C,97 bags IR-64,IR-64,10,standby,118,False
Wagholi to Warehouse B,192 bags IR-64,IR-64,14,ready,85,True
Wagholi to Warehouse B,381 bags Ponni,Ponni,7,scheduled,57,False
Pimpri to Warehouse B,258 bags IR-64,IR-64,15,scheduled,98,True
Khed to Warehouse C,331 bags Swarna,Swarna,15,ready,84,True
Wagholi to Warehouse B,319 bags Swarna,Swarna,3,ready,80,False
Bhosari to Warehouse C,161 bags Ponni,Ponni,20,scheduled,100,True
Moshi to Warehouse B,219 bags Swarna,Swarna,13,ready,51,True
Pimpri to Warehouse B,55 bags IR-64,IR-64,13,scheduled,17,False
Wagholi to Warehouse C,248 bags Swarna,Swarna,14,scheduled,147,True
Lonikand to Warehouse A,388 bags Ponni,Ponni,6,standby,162,True
Hadapsar to Warehouse C,445 bags IR-64,IR-64,9,ready,158,False
Talegaon to Warehouse A,76 bags IR-64,IR-64,15,standby,73,False
Daund to Warehouse C,446 bags Basmati,Basmati,2,ready,31,True
Shirur to Warehouse B,301 bags Basmati,Basmati,17,ready,141,True
Sanaswadi to Warehouse B,453 bags Basmati,Basmati,11,scheduled,113,False
Khed to Warehouse B,389 bags Swarna,Swarna,12,ready,143,False
Shirur to Warehouse C,51 bags Sona Masoori,Sona Masoori,12,ready,32,True
Lonikand to Warehouse B,376 bags Swarna,Swarna,14,ready,178,False
Pimpri to Warehouse B,159 bags Swarna,Swarna,8,standby,134,True
Open Yard C to Warehouse B,104 bags Basmati,Basmati,14,ready,64,False
Indapur to Warehouse B,140 bags Sona Masoori,Sona Masoori,2,ready,53,True
Khed to Warehouse C,270 bags Swarna,Swarna,9,ready,40,False
Talegaon to Warehouse A,177 bags Basmati,Basmati,3,scheduled,162,True
Pimpri to Warehouse C,227 bags Sona Masoori,Sona Masoori,11,ready,110,True
Hadapsar to Warehouse A,212 bags Ponni,Ponni,11,standby,154,True
Khed to Warehouse B,146 bags IR-64,IR-64,6,scheduled,159,False
Lonikand to Warehouse B,260 bags IR-64,IR-64,6,ready,166,True
Indapur to Warehouse B,115 bags IR-64,IR-64,7,scheduled,39,True
Chakan to Warehouse A,430 bags Ponni,Ponni,20,standby,140,True
Sanaswadi to Warehouse B,127 bags IR-64,IR-64,20,standby,150,False
Open Yard C to Warehouse B,479 bags Basmati,Basmati,19,ready,107,True
Open Yard C to Warehouse A,292 bags Sona Masoori,Sona Masoori,6,ready,172,False
Moshi to Warehouse A,460 bags Basmati,Basmati,7,ready,143,True
Sanaswadi to Warehouse B,494 bags Sona Masoori,Sona Masoori,16,ready,108,True
Hadapsar to Warehouse A,269 bags Sona Masoori,Sona Masoori,1,scheduled,54,True
Moshi to Warehouse B,331 bags Ponni,Ponni,15,ready,101,True
Bhosari to Warehouse B,106 bags Basmati,Basmati,15,standby,54,True
Wagholi to Warehouse A,92 bags Ponni,Ponni,5,ready,87,True
Indapur to Warehouse A,141 bags Swarna,Swarna,14,ready,104,False
Bhosari to Warehouse A,139 bags IR-64,IR-64,7,ready,37,False
Open Yard C to Warehouse B,311 bags Sona Masoori,Sona Masoori,14,standby,79,False
Open Yard C to Warehouse B,223 bags IR-64,IR-64,14,ready,50,True
Khed to Warehouse A,257 bags Swarna,Swarna,2,standby,131,False
Moshi to Warehouse A,53 bags Basmati,Basmati,14,scheduled,139,True
Chakan to Warehouse C,51 bags Basmati,Basmati,15,standby,33,True
Moshi to Warehouse C,317 bags Sona Masoori,Sona Masoori,13,ready,168,True
Indapur to Warehouse A,173 bags Basmati,Basmati,7,scheduled,73,True
Sanaswadi to Warehouse C,492 bags Basmati,Basmati,9,scheduled,87,False
Moshi to Warehouse B,219 bags Swarna,Swarna,2,ready,163,False
Hadapsar to Warehouse A,490 bags Sona Masoori,Sona Masoori,17,standby,23,True
Wagholi to Warehouse A,252 bags Basmati,Basmati,14,scheduled,150,False
Khed to Warehouse C,219 bags Sona Masoori,Sona Masoori,19,standby,51,True
Wagholi to Warehouse A,488 bags Sona Masoori,Sona Masoori,11,scheduled,93,True
Indapur to Warehouse B,100 bags Sona Masoori,Sona Masoori,20,standby,63,False
Chakan to Warehouse B,420 bags IR-64,IR-64,8,ready,66,True
Sanaswadi to Warehouse B,296 bags Basmati,Basmati,10,standby,134,True
Sanaswadi to Warehouse C,469 bags Ponni,Ponni,10,standby,118,False
Hadapsar to Warehouse B,279 bags Sona Masoori,Sona Masoori,5,standby,133,True
Bhosari to Warehouse C,188 bags Swarna,Swarna,2,standby,62,False
Daund to Warehouse C,497 bags Ponni,Ponni,6,scheduled,72,True
Lonikand to Warehouse C,469 bags Ponni,Ponni,16,standby,129,False
Chakan to Warehouse C,105 bags Swarna,Swarna,13,scheduled,128,False
Sanaswadi to Warehouse B,359 bags Sona Masoori,Sona Masoori,16,scheduled,75,True
Sanaswadi to Warehouse C,85 bags Sona Masoori,Sona Masoori,12,scheduled,107,True
Indapur to Warehouse B,360 bags Ponni,Ponni,7,standby,33,False
Pimpri to Warehouse A,242 bags Basmati,Basmati,16,standby,147,False
Daund to Warehouse B,72 bags Swarna,Swarna,12,scheduled,176,False
Lonikand to Warehouse B,473 bags IR-64,IR-64,11,scheduled,66,False
Baramati to Warehouse A,389 bags Swarna,Swarna,13,ready,16,False
Chakan to Warehouse A,495 bags Sona Masoori,Sona Masoori,16,scheduled,180,False
Chakan to Warehouse A,384 bags IR-64,IR-64,15,standby,163,True
Chakan to Warehouse A,439 bags IR-64,IR-64,13,scheduled,31,True
Shirur to Warehouse B,312 bags Sona Masoori,Sona Masoori,4,standby,170,True
Chakan to Warehouse A,350 bags Sona Masoori,Sona Masoori,19,ready,161,True
Bhosari to Warehouse C,84 bags Swarna,Swarna,2,standby,65,True
Baramati to Warehouse C,257 bags IR-64,IR-64,17,standby,103,False
Baramati to Warehouse B,485 bags Swarna,Swarna,2,standby,86,False
Talegaon to Warehouse C,247 bags Ponni,Ponni,5,standby,41,False
Chakan to Warehouse C,385 bags Ponni,Ponni,13,ready,126,True
Baramati to Warehouse B,153 bags Basmati,Basmati,20,ready,114,True
Pimpri to Warehouse A,126 bags Sona Masoori,Sona Masoori,12,standby,67,False
Chakan to Warehouse A,488 bags Ponni,Ponni,15,ready,150,True
Open Yard C to Warehouse A,74 bags Swarna,Swarna,12,standby,123,False
Daund to Warehouse B,500 bags Ponni,Ponni,14,scheduled,136,True
Open Yard C to Warehouse C,111 bags Ponni,Ponni,5,scheduled,43,False
Daund to Warehouse B,184 bags Ponni,Ponni,15,ready,142,False
Pimpri to Warehouse A,241 bags Ponni,Ponni,20,scheduled,100,False
Hadapsar to Warehouse C,170 bags Basmati,Basmati,13,scheduled,163,False
Indapur to Warehouse A,140 bags Basmati,Basmati,5,standby,35,True
Sanaswadi to Warehouse C,244 bags Basmati,Basmati,14,scheduled,162,True
Talegaon to Warehouse B,464 bags Swarna,Swarna,4,scheduled,37,False
Pimpri to Warehouse C,146 bags IR-64,IR-64,12,standby,24,True
Khed to Warehouse A,175 bags Ponni,Ponni,16,scheduled,70,True
Open Yard C to Warehouse C,251 bags Ponni,Ponni,5,scheduled,137,False
Hadapsar to Warehouse A,218 bags Basmati,Basmati,6,ready,58,True
